instrument_origin,instrument_prifix,postfix,instrument_full,instrument_code,postfix1,instrument_simple
"  'oxtusdt.HBI',",oxtusdt,.HUOBI,oxtusdt.HUOBI,182,.HBI,182.HBI
"  'api3usdt.HBI',",api3usdt,.HUOBI,api3usdt.HUOBI,183,.HBI,183.HBI
"  'pondusdt.HBI',",pondusdt,.HUOBI,pondusdt.HUOBI,184,.HBI,184.HBI
"  '1inchusdt.HBI',",1inchusdt,.HUOBI,1inchusdt.HUOBI,185,.HBI,185.HBI
"  'linausdt.HBI',",linausdt,.HUOBI,linausdt.HUOBI,186,.HBI,186.HBI
"  'maticusdt.HBI',",maticusdt,.HUOBI,maticusdt.HUOBI,187,.HBI,187.HBI
"  'bagsusdt.HBI',",bagsusdt,.HUOBI,bagsusdt.HUOBI,188,.HBI,188.HBI
"  'polsusdt.HBI',",polsusdt,.HUOBI,polsusdt.HUOBI,189,.HBI,189.HBI
"  'injusdt.HBI',",injusdt,.HUOBI,injusdt.HUOBI,190,.HBI,190.HBI
"  'badgerusdt.HBI',",badgerusdt,.HUOBI,badgerusdt.HUOBI,191,.HBI,191.HBI
"  'massusdt.HBI',",massusdt,.HUOBI,massusdt.HUOBI,192,.HBI,192.HBI
"  'zenusdt.HBI',",zenusdt,.HUOBI,zenusdt.HUOBI,193,.HBI,193.HBI
"  'mdxusdt.HBI',",mdxusdt,.HUOBI,mdxusdt.HUOBI,194,.HBI,194.HBI
"  'iotxusdt.HBI',",iotxusdt,.HUOBI,iotxusdt.HUOBI,195,.HBI,195.HBI
"  'flowusdt.HBI',",flowusdt,.HUOBI,flowusdt.HUOBI,196,.HBI,196.HBI
"  'auctionusdt.HBI',",auctionusdt,.HUOBI,auctionusdt.HUOBI,197,.HBI,197.HBI
"  'paxusdt.HBI',",paxusdt,.HUOBI,paxusdt.HUOBI,198,.HBI,198.HBI
"  'yamusdt.HBI',",yamusdt,.HUOBI,yamusdt.HUOBI,199,.HBI,199.HBI
"  'zksusdt.HBI',",zksusdt,.HUOBI,zksusdt.HUOBI,200,.HBI,200.HBI
"  'maskusdt.HBI',",maskusdt,.HUOBI,maskusdt.HUOBI,201,.HBI,201.HBI
"  'enjusdt.HBI',",enjusdt,.HUOBI,enjusdt.HUOBI,202,.HBI,202.HBI
"  'rndrusdt.HBI',",rndrusdt,.HUOBI,rndrusdt.HUOBI,203,.HBI,203.HBI
"  'axsusdt.HBI',",axsusdt,.HUOBI,axsusdt.HUOBI,204,.HBI,204.HBI
"  'stnusdt.HBI',",stnusdt,.HUOBI,stnusdt.HUOBI,205,.HBI,205.HBI
"  'insurusdt.HBI',",insurusdt,.HUOBI,insurusdt.HUOBI,206,.HBI,206.HBI
"  'fildausdt.HBI',",fildausdt,.HUOBI,fildausdt.HUOBI,207,.HBI,207.HBI
"  'raiusdt.HBI',",raiusdt,.HUOBI,raiusdt.HUOBI,208,.HBI,208.HBI
"  'scusdt.HBI',",scusdt,.HUOBI,scusdt.HUOBI,209,.HBI,209.HBI
"  'mirusdt.HBI',",mirusdt,.HUOBI,mirusdt.HUOBI,210,.HBI,210.HBI
"  'stakeusdt.HBI',",stakeusdt,.HUOBI,stakeusdt.HUOBI,211,.HBI,211.HBI
"  'canusdt.HBI',",canusdt,.HUOBI,canusdt.HUOBI,212,.HBI,212.HBI
"  'apnusdt.HBI',",apnusdt,.HUOBI,apnusdt.HUOBI,213,.HBI,213.HBI
"  'forthusdt.HBI',",forthusdt,.HUOBI,forthusdt.HUOBI,214,.HBI,214.HBI
"  'nuusdt.HBI',",nuusdt,.HUOBI,nuusdt.HUOBI,215,.HBI,215.HBI
"  'rlcusdt.HBI',",rlcusdt,.HUOBI,rlcusdt.HUOBI,216,.HBI,216.HBI
"  'ctsiusdt.HBI',",ctsiusdt,.HUOBI,ctsiusdt.HUOBI,217,.HBI,217.HBI
"  'lhbusdt.HBI',",lhbusdt,.HUOBI,lhbusdt.HUOBI,218,.HBI,218.HBI
"  'shibusdt.HBI',",shibusdt,.HUOBI,shibusdt.HUOBI,219,.HBI,219.HBI
"  'wbtcusdt.HBI',",wbtcusdt,.HUOBI,wbtcusdt.HUOBI,220,.HBI,220.HBI
"  'icpusdt.HBI',",icpusdt,.HUOBI,icpusdt.HUOBI,221,.HBI,221.HBI
"  'csprusdt.HBI',",csprusdt,.HUOBI,csprusdt.HUOBI,222,.HBI,222.HBI
"  'latusdt.HBI',",latusdt,.HUOBI,latusdt.HUOBI,223,.HBI,223.HBI
"  'o3usdt.HBI',",o3usdt,.HUOBI,o3usdt.HUOBI,224,.HBI,224.HBI
"  'xchusdt.HBI',",xchusdt,.HUOBI,xchusdt.HUOBI,225,.HBI,225.HBI
"  'nftusdt.HBI',",nftusdt,.HUOBI,nftusdt.HUOBI,226,.HBI,226.HBI
"  'sunusdt.HBI',",sunusdt,.HUOBI,sunusdt.HUOBI,227,.HBI,227.HBI
  'boringusdt.HBI',boringusdt,.HUOBI,boringusdt.HUOBI,228,.HBI,228.HBI
